time,instrument,price,signal,strike,score,confidence,regime,manual_guidance,signal_valid_till,blockers,cautions,score_factors,reason,strike_reason
2026-04-08 09:00:00.135987,NIFTY,23999.45,NO_TRADE,,73,MEDIUM,TRENDING,HIGH RISK,,direction_present_but_filters_incomplete,"far_from_vwap, near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration, normal_volume",Directional context present but filters incomplete | score=73,
2026-04-08 09:05:02.045792,NIFTY,23994.15,NO_TRADE,,53,LOW,TRENDING,HIGH RISK,,no_valid_setup,"far_from_vwap, near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_trend, atm_pe_concentration, normal_volume",No valid setup | score=53,
2026-04-08 09:10:00.352395,NIFTY,24015.5,NO_TRADE,,73,MEDIUM,TRENDING,HIGH RISK,,direction_present_but_filters_incomplete,"far_from_vwap, near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration, normal_volume",Directional context present but filters incomplete | score=73,
2026-04-08 09:15:00.652904,NIFTY,23975.4,NO_TRADE,,53,LOW,TRENDING,HIGH RISK,,no_valid_setup,opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_trend, atm_pe_concentration, normal_volume",No valid setup | score=53,
2026-04-08 09:20:00.696080,NIFTY,23975.75,NO_TRADE,,63,LOW,TRENDING,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body, breakout_structure_weak",opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_build_up, atm_pe_concentration, normal_volume",Directional context present but filters incomplete | score=63,
2026-04-08 09:25:00.477374,NIFTY,23964.05,NO_TRADE,,53,LOW,CHOPPY,HIGH RISK,,no_valid_setup,opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_trend, normal_volume",No valid setup | score=53,
2026-04-08 09:30:01.364413,NIFTY,23986.05,NO_TRADE,,53,LOW,TRENDING,HIGH RISK,,no_valid_setup,"near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_bias, atm_pe_concentration, normal_volume",No valid setup | score=53,
2026-04-08 09:35:00.629295,NIFTY,23967.35,NO_TRADE,,53,LOW,CHOPPY,HIGH RISK,,no_valid_setup,opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_trend, normal_volume",No valid setup | score=53,
2026-04-08 09:40:02.775840,NIFTY,23965.65,NO_TRADE,,53,LOW,CHOPPY,HIGH RISK,,no_valid_setup,,"bearish_oi_bias, bearish_oi_trend, bearish_build_up, bearish_pressure, normal_volume",No valid setup | score=53,
2026-04-08 09:45:00.881363,NIFTY,23950.6,NO_TRADE,,68,MEDIUM,CHOPPY,HIGH RISK,,direction_present_but_filters_incomplete,,"price_below_vwap, bearish_oi_bias, bearish_oi_trend, bearish_build_up, bearish_pressure, normal_volume",Directional context present but filters incomplete | score=68,
2026-04-08 09:50:00.877632,NIFTY,23965.6,NO_TRADE,,73,MEDIUM,CHOPPY,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body",opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up, normal_volume",Directional context present but filters incomplete | score=73,
2026-04-08 09:55:01.521964,NIFTY,23976.85,NO_TRADE,,63,LOW,TRENDING,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body",opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_build_up, atm_pe_concentration, normal_volume",Directional context present but filters incomplete | score=63,
2026-04-08 10:00:00.488317,NIFTY,23979.55,NO_TRADE,,73,MEDIUM,TRENDING,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body, breakout_structure_weak",opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration, normal_volume",Directional context present but filters incomplete | score=73,
2026-04-08 10:05:02.053665,NIFTY,23977.55,NO_TRADE,,53,LOW,TRENDING,HIGH RISK,,no_valid_setup,opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_trend, atm_pe_concentration, normal_volume",No valid setup | score=53,
2026-04-08 10:10:00.820793,NIFTY,23979.2,NO_TRADE,,73,MEDIUM,TRENDING,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body",opposite_pressure,"price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration, normal_volume",Directional context present but filters incomplete | score=73,
2026-04-08 10:15:00.396162,NIFTY,23999.0,NO_TRADE,,73,MEDIUM,TRENDING,HIGH RISK,,direction_present_but_filters_incomplete,"near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration, normal_volume",Directional context present but filters incomplete | score=73,
2026-04-08 10:20:00.771795,NIFTY,23986.65,NO_TRADE,,53,LOW,TRENDING,HIGH RISK,,no_valid_setup,"near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_trend, atm_pe_concentration, normal_volume",No valid setup | score=53,
2026-04-08 10:25:00.535179,NIFTY,23987.65,NO_TRADE,,43,LOW,TRENDING,HIGH RISK,,no_valid_setup,"near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, atm_pe_concentration, normal_volume",No valid setup | score=43,
2026-04-08 10:30:02.324189,NIFTY,24002.65,NO_TRADE,,43,LOW,NO_TRADE_WINDOW,HIGH RISK,,time_filter,,"price_above_vwap, orb_breakout_up, atm_pe_concentration, normal_volume",Trade not allowed (time filter) | score=43,
2026-04-08 10:35:00.851626,NIFTY,23993.85,NO_TRADE,,58,LOW,NO_TRADE_WINDOW,HIGH RISK,,time_filter,,"bearish_oi_bias, bearish_oi_trend, bearish_build_up, bearish_pressure, atm_ce_concentration, normal_volume",Trade not allowed (time filter) | score=58,
2026-04-09 06:00:00.223584,NIFTY,23848.2,NO_TRADE,,30,LOW,EARLY_SESSION,HIGH RISK,,orb_not_ready,,"price_above_vwap, bullish_pressure",ORB not ready | score=30,
2026-04-09 06:05:00.800307,NIFTY,23858.05,NO_TRADE,,68,LOW,EARLY_SESSION,HIGH RISK,,orb_not_ready,,"price_above_vwap, bullish_oi_bias, bullish_oi_trend, bullish_build_up, bullish_pressure, normal_volume",ORB not ready | score=68,
2026-04-09 06:45:08.603313,NIFTY,23829.35,NO_TRADE,,45,LOW,EARLY_SESSION,HIGH RISK,,no_valid_setup,"near_support, opposite_pressure","price_below_vwap, bearish_oi_bias, bearish_oi_trend, bearish_build_up",Reconnect cooldown active (2 bars left) | score=45,
2026-04-09 06:50:00.927116,NIFTY,23831.2,NO_TRADE,,40,LOW,OPENING_EXPANSION,HIGH RISK,,no_valid_setup,opposite_pressure,"price_below_vwap, bearish_oi_trend, strong_volume",Reconnect cooldown active (2 bars left) | score=40,
2026-04-09 06:55:02.580353,NIFTY,23839.45,NO_TRADE,,38,LOW,CHOPPY,HIGH RISK,,no_valid_setup,,"price_above_vwap, bullish_pressure, normal_volume",Reconnect cooldown active (1 bars left) | score=38,
2026-04-09 07:00:00.163671,NIFTY,23855.25,NO_TRADE,,58,LOW,CHOPPY,HIGH RISK,,no_valid_setup,,"price_above_vwap, bullish_oi_bias, bullish_build_up, bullish_pressure, normal_volume",No valid setup | score=58,
2026-04-09 07:05:00.280579,NIFTY,23854.75,NO_TRADE,,48,LOW,CHOPPY,HIGH RISK,,no_valid_setup,,"price_above_vwap, bullish_oi_trend, bullish_pressure, normal_volume",No valid setup | score=48,
2026-04-09 07:10:00.251291,NIFTY,23855.0,NO_TRADE,,68,MEDIUM,CHOPPY,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body",,"price_above_vwap, bullish_oi_bias, bullish_oi_trend, bullish_build_up, bullish_pressure, normal_volume",Directional context present but filters incomplete | score=68,
2026-04-09 07:15:01.023537,NIFTY,23866.35,NO_TRADE,,38,LOW,TRENDING,HIGH RISK,,no_valid_setup,,"price_above_vwap, bullish_pressure, normal_volume",No valid setup | score=38,
2026-04-09 07:40:00.114907,NIFTY,23901.65,NO_TRADE,,85,MEDIUM,RANGING,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body",far_from_vwap,"price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up, bullish_pressure, atm_pe_concentration",Reconnect cooldown active (2 bars left) | score=85,
2026-04-09 07:45:00.575265,NIFTY,23883.0,NO_TRADE,,33,LOW,CHOPPY,HIGH RISK,,pressure_neutral,,"price_above_vwap, bullish_oi_trend, atm_pe_concentration, normal_volume",Reconnect cooldown active (1 bars left) | score=33,
2026-04-09 07:50:00.447893,NIFTY,23876.7,NO_TRADE,,38,LOW,CHOPPY,HIGH RISK,,pressure_neutral,,"bearish_oi_bias, bearish_oi_trend, bearish_build_up, atm_ce_concentration, normal_volume",Pressure not aligned | score=38,
2026-04-09 07:55:00.239330,NIFTY,23870.05,NO_TRADE,,33,LOW,CHOPPY,HIGH RISK,,pressure_neutral,,"price_above_vwap, bullish_oi_trend, normal_volume",Pressure not aligned | score=33,
2026-04-09 08:00:00.060390,NIFTY,23873.8,NO_TRADE,,53,LOW,CHOPPY,HIGH RISK,,pressure_neutral,,"price_above_vwap, bullish_oi_bias, bullish_oi_trend, bullish_build_up, normal_volume",Pressure not aligned | score=53,
2026-04-09 08:32:28.154280,NIFTY,23848.8,NO_TRADE,,45,LOW,RANGING,HIGH RISK,,no_valid_setup,opposite_pressure,"price_below_vwap, bearish_oi_bias, bearish_oi_trend, bearish_build_up",Reconnect cooldown active (2 bars left) | score=45,
2026-04-09 08:40:01.003963,NIFTY,23829.35,NO_TRADE,,0,LOW,RANGING,HIGH RISK,,no_valid_setup,,balanced_directional_signals,Reconnect cooldown active (2 bars left) | score=0,
2026-04-09 08:45:00.774747,NIFTY,23815.8,NO_TRADE,,50,LOW,TRENDING,HIGH RISK,,no_valid_setup,"near_support, opposite_pressure","price_below_vwap, bearish_oi_bias, bearish_build_up, strong_volume",Reconnect cooldown active (1 bars left) | score=50,
2026-04-09 09:30:00.465799,NIFTY,23767.85,NO_TRADE,,53,LOW,TRENDING,HIGH RISK,,no_valid_setup,"far_from_vwap, opposite_pressure","price_below_vwap, bearish_oi_bias, bearish_oi_trend, bearish_build_up, normal_volume",Reconnect cooldown active (2 bars left) | score=53,
2026-04-09 10:23:15.001003,NIFTY,23695.35,NO_TRADE,,45,LOW,RANGING,HIGH RISK,,no_valid_setup,"far_from_vwap, opposite_pressure","price_below_vwap, bearish_oi_bias, bearish_oi_trend, bearish_build_up",Reconnect cooldown active (2 bars left) | score=45,
2026-04-09 10:25:01.522476,NIFTY,23748.85,NO_TRADE,,45,LOW,RANGING,HIGH RISK,,no_valid_setup,far_from_vwap,"bullish_oi_bias, bullish_oi_trend, bullish_build_up, bullish_pressure",Reconnect cooldown active (2 bars left) | score=45,
2026-04-09 10:45:00.395607,NIFTY,23792.2,NO_TRADE,,50,LOW,NO_TRADE_WINDOW,HIGH RISK,,time_filter,,"bullish_oi_bias, bullish_oi_trend, bullish_build_up, bullish_pressure, atm_pe_concentration",Reconnect cooldown active (2 bars left) | score=50,
2026-04-10 09:25:03.063776+05:30,NIFTY,23918.45,NO_TRADE,,40,LOW,NO_TRADE_WINDOW,HIGH RISK,,time_filter,,"price_below_vwap, bearish_oi_trend, bearish_pressure, atm_ce_concentration",Trade not allowed (time filter) | score=40,
2026-04-10 09:35:00.824340+05:30,NIFTY,23943.85,NO_TRADE,,55,LOW,OPENING_EXPANSION,WAIT,,orb_not_ready,opening_session,"price_below_vwap, bearish_oi_trend, bearish_pressure, strong_volume",ORB not ready | score=55,
2026-04-10 09:40:00.943591+05:30,NIFTY,23940.15,NO_TRADE,,65,MEDIUM,OPENING_EXPANSION,WAIT,,"direction_present_but_filters_incomplete, opening_session_confirmation_pending",opening_session,"price_below_vwap, bearish_oi_bias, bearish_build_up, bearish_pressure, strong_volume",Directional context present but filters incomplete | score=65,
2026-04-10 09:45:01.076150+05:30,NIFTY,23947.95,NO_TRADE,,50,LOW,OPENING_EXPANSION,HIGH RISK,,"no_valid_setup, oi_conflict, pressure_conflict",opposite_pressure,"price_above_vwap, bullish_oi_bias, bullish_build_up, strong_volume",No valid setup | score=50,
2026-04-10 09:50:01.879459+05:30,NIFTY,23974.35,NO_TRADE,,60,LOW,EXPANDING,HIGH RISK,,direction_present_but_filters_incomplete,opposite_pressure,"price_above_vwap, bullish_oi_bias, bullish_oi_trend, bullish_build_up, strong_volume",Directional context present but filters incomplete | score=60,
2026-04-10 10:05:02.021217+05:30,NIFTY,23972.35,NO_TRADE,,25,LOW,RANGING,HIGH RISK,,"no_valid_setup, volume_weak, low_tick_density, build_up_missing, pressure_conflict",opposite_pressure,"price_above_vwap, bullish_oi_trend",No valid setup | score=25,
2026-04-10 10:10:00.789411+05:30,NIFTY,23960.3,NO_TRADE,,40,LOW,CHOPPY,HIGH RISK,,"no_valid_setup, vwap_not_supportive, build_up_missing",,"bearish_oi_trend, bearish_pressure, strong_volume",No valid setup | score=40,
2026-04-10 10:15:00.195635+05:30,NIFTY,23995.7,NO_TRADE,,45,LOW,TRENDING,HIGH RISK,,"no_valid_setup, vwap_not_supportive, oi_conflict, build_up_missing",near_resistance,"bearish_oi_trend, bearish_pressure, atm_ce_concentration, strong_volume",No valid setup | score=45,
2026-04-10 10:45:00.299523+05:30,NIFTY,24004.65,NO_TRADE,,53,LOW,TRENDING,HIGH RISK,,"no_valid_setup, pressure_conflict","near_resistance, opposite_pressure","price_above_vwap, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration, normal_volume",Reconnect cooldown active (1 bars left) | score=53,
2026-04-10 10:55:00.370469+05:30,NIFTY,23985.3,NO_TRADE,,45,LOW,RANGING,HIGH RISK,,"no_valid_setup, volume_weak, vwap_not_supportive",near_resistance,"bearish_oi_bias, bearish_oi_trend, bearish_build_up, bearish_pressure, atm_ce_concentration",Reconnect cooldown active (1 bars left) | score=45,
2026-04-10 11:00:00.939199+05:30,NIFTY,23999.8,NO_TRADE,,40,LOW,TRENDING,HIGH RISK,,"no_valid_setup, vwap_not_supportive, build_up_missing",near_resistance,"bearish_oi_trend, bearish_pressure, atm_ce_concentration, strong_volume",No valid setup | score=40,
2026-04-10 11:05:00.405371+05:30,NIFTY,24001.45,NO_TRADE,,40,LOW,TRENDING,HIGH RISK,,"no_valid_setup, vwap_not_supportive, build_up_missing",near_resistance,"bearish_oi_trend, bearish_pressure, atm_ce_concentration, strong_volume",No valid setup | score=40,
2026-04-10 11:20:00.203135+05:30,NIFTY,23992.65,NO_TRADE,,33,LOW,TRENDING,HIGH RISK,,"no_valid_setup, build_up_missing, pressure_conflict","near_resistance, opposite_pressure","price_above_vwap, bullish_oi_trend, atm_pe_concentration, normal_volume",Reconnect cooldown active (1 bars left) | score=33,
2026-04-10 11:25:01.028524+05:30,NIFTY,23992.7,NO_TRADE,,50,LOW,CHOPPY,HIGH RISK,,"no_valid_setup, oi_conflict, pressure_conflict","near_resistance, opposite_pressure","price_above_vwap, bullish_oi_bias, bullish_build_up, atm_pe_concentration, strong_volume",No valid setup | score=50,
2026-04-10 11:50:00.179691+05:30,NIFTY,23963.3,NO_TRADE,,38,LOW,CHOPPY,HIGH RISK,,"no_valid_setup, oi_conflict, build_up_missing",,"price_below_vwap, bearish_pressure, normal_volume",No valid setup | score=38,
2026-04-10 11:55:01.237092+05:30,NIFTY,23982.55,NO_TRADE,,15,LOW,CHOPPY,HIGH RISK,,no_valid_setup,near_resistance,"balanced_directional_signals, strong_volume",No valid setup | score=15,
2026-04-10 12:08:30.446134+05:30,NIFTY,23993.95,NO_TRADE,,45,LOW,RANGING,HIGH RISK,,"no_valid_setup, volume_weak, pressure_conflict","near_resistance, opposite_pressure","price_above_vwap, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration",No valid setup | score=45,
2026-04-10 12:10:00.984865+05:30,NIFTY,24014.7,NO_TRADE,,25,LOW,RANGING,HIGH RISK,,"no_valid_setup, volume_weak, low_tick_density, vwap_not_supportive, build_up_missing",near_resistance,"bearish_oi_trend, bearish_pressure, atm_ce_concentration",Reconnect cooldown active (1 bars left) | score=25,
2026-04-10 12:15:00.715556+05:30,NIFTY,24009.1,NO_TRADE,,40,LOW,TRENDING,HIGH RISK,,"no_valid_setup, build_up_missing, pressure_conflict","near_resistance, opposite_pressure","price_above_vwap, bullish_oi_trend, atm_pe_concentration, strong_volume",No valid setup | score=40,
2026-04-10 13:05:00.060716+05:30,NIFTY,24014.05,NO_TRADE,,58,LOW,TRENDING,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body","near_resistance, opposite_pressure","price_above_vwap, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration, normal_volume",Directional context present but filters incomplete | score=58,
2026-04-10 13:10:01.004465+05:30,NIFTY,24019.7,NO_TRADE,,58,LOW,TRENDING,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body","near_resistance, opposite_pressure","price_above_vwap, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration, normal_volume",Directional context present but filters incomplete | score=58,
2026-04-10 13:29:35.467164+05:30,NIFTY,24001.25,NO_TRADE,,53,LOW,TRENDING,HIGH RISK,,"no_valid_setup, vwap_not_supportive",near_resistance,"bearish_oi_bias, bearish_oi_trend, bearish_build_up, bearish_pressure, atm_ce_concentration, normal_volume",No valid setup | score=53,
2026-04-10 13:30:00.818436+05:30,NIFTY,24007.5,NO_TRADE,,25,LOW,RANGING,HIGH RISK,,"no_valid_setup, volume_weak, low_tick_density, vwap_not_supportive, build_up_missing",near_resistance,"bearish_oi_trend, bearish_pressure, atm_ce_concentration",No valid setup | score=25,
2026-04-10 13:40:02.348734+05:30,NIFTY,24011.6,NO_TRADE,,50,LOW,RANGING,HIGH RISK,,"no_valid_setup, volume_weak, low_tick_density, pressure_conflict","near_resistance, opposite_pressure","price_above_vwap, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration",No valid setup | score=50,
2026-04-10 13:53:03.116819+05:30,NIFTY,24015.7,NO_TRADE,,45,LOW,RANGING,HIGH RISK,,"no_valid_setup, volume_weak, low_tick_density, pressure_conflict","near_resistance, opposite_pressure","price_above_vwap, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration",No valid setup | score=45,
2026-04-10 14:10:00.123672+05:30,NIFTY,24031.55,NO_TRADE,,35,LOW,RANGING,HIGH RISK,,"no_valid_setup, volume_weak, low_tick_density, oi_conflict, pressure_conflict","far_from_vwap, opposite_pressure","price_above_vwap, bullish_oi_bias, bullish_build_up",No valid setup | score=35,
2026-04-10 14:26:10.849661+05:30,NIFTY,24030.45,NO_TRADE,,25,LOW,RANGING,HIGH RISK,,"no_valid_setup, volume_weak, low_tick_density, build_up_missing, pressure_conflict","far_from_vwap, opposite_pressure","price_above_vwap, bullish_oi_trend",No valid setup | score=25,
2026-04-10 14:30:01.581124+05:30,NIFTY,23964.75,NO_TRADE,,60,LOW,RANGING,HIGH RISK,,"direction_present_but_filters_incomplete, weak_breakout_body, low_tick_density",,"price_below_vwap, bearish_oi_bias, bearish_oi_trend, bearish_build_up, bearish_pressure",Directional context present but filters incomplete | score=60,
2026-04-10 14:57:06.394493+05:30,NIFTY,23977.95,NO_TRADE,,48,LOW,CHOPPY,HIGH RISK,,"no_valid_setup, low_tick_density, oi_conflict, build_up_missing",,"price_below_vwap, bearish_oi_trend, bearish_pressure, atm_ce_concentration, normal_volume",No valid setup | score=48,
2026-04-10 15:05:46.458337+05:30,NIFTY,24001.6,NO_TRADE,,35,LOW,NO_TRADE_WINDOW,HIGH RISK,,time_filter,,"price_above_vwap, bullish_oi_bias, bullish_build_up",Trade not allowed (time filter) | score=35,
2026-04-10 15:29:02.578339+05:30,NIFTY,24063.9,NO_TRADE,,45,LOW,NO_TRADE_WINDOW,HIGH RISK,,time_filter,,"price_above_vwap, bullish_oi_bias, bullish_oi_trend, bullish_build_up",Trade not allowed (time filter) | score=45,
